ASS_NR,VRS_NR,GlobalID/IFOPT,H_Name,H_Provgem,H_ProvOrt,H_KOORX,H_KOORY
1,11110,de:05315:11110,Heumarkt,K?ln,Innenstadt,2567525,5644934
2,11111,de:05315:11111,Neumarkt,K?ln,Innenstadt,2566659,5644930
3,11112,de:05315:11112,Poststr.,K?ln,Innenstadt,2566833,5644428
4,11113,de:05315:11113,Mauritiuskirche,K?ln,Innenstadt,2566478,5644750
5,11150,de:05315:11150,G?rzenichstr.,K?ln,Innenstadt,2567383,5644994
6,11114,de:05315:11114,Rathaus,K?ln,Innenstadt,2567500,5645241
7,11209,de:05315:11209,Appellhofplatz,K?ln,Innenstadt,2566847,5645400
8,11201,de:05315:11201,Dom / Hbf,K?ln,Innenstadt,2567415,5645741
9,11212,de:05315:11212,Breslauer Platz/Hbf,K?ln,Innenstadt,2567417,5645895
10,18232,de:05315:18232,Kuthstr./Vingst,K?ln,Vingst,2571885,5644720
11,11311,de:05315:11311,Severinstr.,K?ln,Innenstadt,2567314,5644194
12,11352,de:05315:11352,Waidmarkt,K?ln,Innenstadt,2567266,5644559
13,11354,de:05315:11354,Rosenstr.,K?ln,Innenstadt,2567447,5643917
14,14549,de:05315:14549,Silberm?wenweg,K?ln,Vogelsang,2561622,5648263
15,11355,de:05315:11355,Severinskirche,K?ln,Innenstadt,2567555,5643548
16,18233,de:05315:18233,Nobelstr.,K?ln,Vingst,2566694,5500098
17,11410,de:05315:11410,Ubierring,K?ln,Innenstadt,2567930,5643459
18,11411,de:05315:11411,Chlodwigplatz,K?ln,Innenstadt,2567572,5643320
19,11412,de:05315:11412,Ulrepforte,K?ln,Innenstadt,2566986,5643622
20,11413,de:05315:11413,Bonner Wall,K?ln,Innenstadt,2567622,5642790
21,11509,de:05315:11509,Eifelplatz,K?ln,Innenstadt,2566383,5643537
22,11510,de:05315:11510,Eifelstr.,K?ln,Innenstadt,2566532,5643914
23,11511,de:05315:11511,Barbarossaplatz,K?ln,Innenstadt,2566321,5644126
24,11512,de:05315:11512,Z?lpicher Platz,K?ln,Innenstadt,2566178,5644409
25,11513,de:05315:11513,Dasselstr./Bf S?d,K?ln,Innenstadt,2565847,5644099
26,11514,de:05315:11514,Eifelwall,K?ln,Innenstadt,2565927,5643698
27,11610,de:05315:11610,Rudolfplatz,K?ln,Innenstadt,2566049,5644986
28,11611,de:05315:11611,Moltkestr.,K?ln,Innenstadt,2565552,5644889
29,11651,de:05315:11651,Roonstr.,K?ln,Innenstadt,2565727,5644611
30,11710,de:05315:11710,Friesenplatz,K?ln,Innenstadt,2566111,5645453
31,11701,de:05315:11701,Hans-B?ckler-Platz/Bf West,K?ln,Innenstadt,2565658,5645707
32,11712,de:05315:11712,Christophstr./Mediapark,K?ln,Innenstadt,2566278,5645919
33,16480,de:05315:16480,Gewerbegebiet Feldkassel,K?ln,Langel linksrheinisch,2564237,5656480
34,11809,de:05315:11809,Reichenspergerplatz,K?ln,Innenstadt,2567801,5646976
35,11810,de:05315:11810,Ebertplatz,K?ln,Innenstadt,2567419,5646592
36,11801,de:05315:11801,Hansaring,K?ln,Innenstadt,2566971,5646407
37,11851,de:05315:11851,Worringer Str.,K?ln,Innenstadt,2568035,5647129
38,11852,de:05315:11852,Krefelder Wall,K?ln,Innenstadt,2566822,5646988
39,11909,de:05315:11909,Deutzer Freiheit,K?ln,Deutz,2568252,5645050
40,11910,de:05315:11910,Suevenstr.,K?ln,Deutz,2568700,5644654
41,11901,de:05315:11901,Bf Deutz / Messe  LANXESS arena,K?ln,Deutz,2568740,5645389
