EVA_NR;IFOPT;NAME
8000001;de:05334:1008;Aachen Hbf
8000002;de:08136:1000;Aalen Hbf
8000004;de:05774:7131;Altenbeken
8000007;de:07331:55;Alzey
8000009;de:09561:11000;Ansbach
8000010;de:09661:99082;Aschaffenburg Hbf
8000011;de:01057:3365;Ascheberg(Holst)
8000012;de:05382:59901;Au(Sieg)
8000013;de:09761:100;Augsburg Hbf
8000014;de:08436:1000;Aulendorf
8000015;de:06432:8563;Babenhausen(Hess)
8000016;de:08119:7600;Backnang
8000017;de:08125:519;Bad Friedrichshall Hbf
8000019;de:03153:4946;Bad Harzburg
8000020;de:06632:202026;Bad Hersfeld
8000021;de:07133:8178;Bad Kreuznach
8000022;de:03257:505;Bad Nenndorf
8000023;de:01062:37979;Bad Oldesloe
8000025;de:09461:20010;Bamberg
8000026;ch:23005:6;Basel Bad Bf
8000027;de:09376:7410;Schwandorf
8000028;de:09462:22000;Bayreuth Hbf
8000029;de:06632:202110;Bebra
8000030;de:05362:89101;Bedburg(Erft)
8000031;de:06431:236;Bensheim
8000032;de:09662:28058;Schweinfurt Hbf
8000033;de:05954:8174;Schwelm
8000034;de:07132:90171;Betzdorf(Sieg)
8000036;de:05711:5500;Bielefeld Hbf
8000037;de:05978:63583;Schwerte(Ruhr)
8000038;de:08118:1400;Bietigheim-Bissingen
8000039;de:07339:8183;Bingen(Rhein) Hbf
8000040;de:05554:60834;Bocholt
8000041;de:05911:5194;Bochum Hbf
8000042;de:08225:8203;Seckach
8000043;de:03153:5780;Seesen
8000044;de:05314:61101;Bonn Hbf
8000045;de:07140:10154;Boppard Hbf
8000046;de:05970:10097;Siegen
8000047;de:05512:3335;Bottrop Hbf
8000048;de:05711:5059;Brackwede
8000049;de:03101:178;Braunschweig Hbf
8000050;de:04011:13927;Bremen Hbf
8000051;de:04012:14418;Bremerhaven Hbf
8000053;de:08215:1551;Bretten
8000054;de:05958:60005;Brilon Wald
8000055;de:08215:1856;Bruchsal
8000056;de:03353:8000056;Buchholz(Nordheide)
8000057;de:09777:1000;Buchloe
8000058;de:01053:8000058;Büchen
8000059;de:05758:1120;Bünde(Westf)
8000060;;Siershahn
8000061;de:06535:11187;Burg-u. Nieder Gemünden
8000062;de:05566:16548;Steinfurt-Burgsteinfurt
8000063;de:08235:9030;Calw
8000064;de:03351:50;Celle
8000065;de:06534:11080;Cölbe
8000066;de:05558:16602;Coesfeld(Westf)
8000067;de:08127:21001;Crailsheim
8000068;de:06411:4734;Darmstadt Hbf
8000069;de:08437:42111;Sigmaringen
8000070;de:03401:19646;Delmenhorst
8000071;de:03254:21906;Derneburg(Han)
8000072;de:09277:80490;Simbach(Inn)
8000073;de:08335:6588;Singen(Hohentwiel)
8000074;de:06532:11005;Dillenburg
8000075;de:10044:8000075;Dillingen(Saar)
8000076;de:05974:11246;Soest
8000077;de:08326:6537;Donaueschingen
8000078;de:09779:5500;Donauwörth
8000080;de:05913:131;Dortmund Hbf
8000081;de:05913:196;Dortmund-Dorstfeld
8000082;de:05111:18488;Düsseldorf Flughafen
8000083;de:05558:15351;Dülmen
8000084;de:05358:2286;Düren
8000085;de:05111:18235;Düsseldorf Hbf
8000086;de:05112:16032;Duisburg Hbf
8000087;de:05122:13800;Solingen Hbf
8000088;de:03358:85426;Soltau(Han)
8000089;de:03359:8000089;Stade
8000090;de:06636:206285;Eichenberg
8000091;de:09575:14350;Steinach(b Rothenburg ob der Tauber)
8000092;de:01056:97960;Elmshorn
8000093;de:03254:21616;Elze(Han)
8000094;de:07138:10110;Engers
8000095;de:09263:2600;Straubing
8000096;de:08111:6115;Stuttgart Hbf
8000098;de:05113:9289;Essen Hbf
8000099;de:05113:9582;Essen-Steele
8000100;de:05366:72101;Euskirchen
8000101;de:08237:7965;Eutingen im Gäu
8000102;de:05966:11047;Finnentrop
8000103;de:01001:27253;Flensburg
8000104;de:06635:205326;Frankenberg(Eder)
8000105;de:06412:10;Frankfurt(Main)Hbf
8000106;de:06412:1008;Frankfurt-Höchst
8000107;de:08311:6508;Freiburg(Breisgau) Hbf
8000108;de:09172:42293;Freilassing
8000110;de:08237:1050;Freudenstadt Hbf
8000111;de:06440:6401;Friedberg(Hess)
8000112;de:08435:44002;Friedrichshafen Stadt
8000113;de:05978:32759;Fröndenberg
8000114;de:09563:2110;Fürth(Bay)Hbf
8000115;de:06631:11049;Fulda
8000116;de:09189:41179;Traunstein
8000117;de:06435:11058;Gelnhausen
8000118;de:05513:5613;Gelsenkirchen Hbf
8000119;de:09181:502;Geltendorf
8000120;de:09677:28001;Gemünden(Main)
8000121;de:07339:8190;Gensingen-Horrweiler
8000122;de:09577:16200;Treuchtlingen
8000123;de:07233:30303;Gerolstein
8000124;de:06531:11016;Gießen
8000125;de:05562:3202;Gladbeck West
8000126;de:06433:6802;Riedstadt-Goddelau
8000127;de:08117:154;Göppingen
8000128;de:03152:33817;Göttingen
8000129;de:06634:204662;Treysa
8000130;de:03153:5982;Goslar
8000131;de:08215:32585;Graben-Neudorf
8000132;de:06434:6308;Grävenwiesbach
8000133;de:05162:20001;Grevenbroich
8000134;de:07211:1318;Trier Hbf
8000135;de:05382:54701;Troisdorf
8000136;de:06433:4802;Groß Gerau
8000137;de:07332:1009;Grünstadt
8000138;de:05158:13970;Gruiten
8000139;de:09774:2600;Günzburg
8000140;de:06633:203095;Baunatal-Guntershausen
8000141;de:08416:11000;Tübingen Hbf
8000142;de:05914:2007;Hagen Hbf
8000143;de:08336:6700;Weil am Rhein-Gartenstadt
8000144;de:09778:3200;Türkheim(Bay)Bf
8000145;de:05562:3527;Haltern am See
8000146;de:08336:6706;Weil am Rhein-Pfädlistraße
8000147;de:02000:8000147;Hamburg-Harburg
8000148;de:03252:8000;Hameln
8000149;de:05915:7756;Hamm(Westf)
8000150;de:06435:4503;Hanau Hbf
8000152;de:03241:31;Hannover Hbf
8000154;de:10046:8000154;Türkismühle
8000155;de:01051:39654;Heide(Holst)
8000156;de:08221:1160;Heidelberg Hbf
8000157;de:08121:26;Heilbronn Hbf
8000158;de:06435:4544;Nidderau
8000159;de:03154:3261;Helmstedt
8000160;de:08437:44001;Herbertingen
8000161;de:06532:11007;Herborn(Dillkr)
8000162;de:05758:1380;Herford
8000163;de:08327:1748;Tuttlingen
8000164;de:05916:7501;Herne
8000165;de:05562:3217;Hervest-Dorsten
8000166;de:03156:41699;Herzberg(Harz)
8000167;de:03459:41892;Hesepe
8000168;de:03360:92160;Uelzen
8000169;de:03254:9922;Hildesheim Hbf
8000170;de:08421:1008;Ulm Hbf
8000171;de:05978:11218;Unna
8000172;de:06437:11220;Höchst(Odenw)
8000173;de:09479:9579;Wunsiedel-Holenbrunn
8000174;de:05166:22005;Viersen
8000175;de:10041:8000175;Völklingen
8000176;de:10045:8000176;Homburg(Saar)Hbf
8000177;de:08237:5001;Horb
8000178;de:05362:87303;Horrem
8000180;de:08119:7604;Waiblingen
8000181;de:01054:44660;Husum
8000182;de:08327:1242;Immendingen
8000183;de:09161:9000;Ingolstadt Hbf
8000185;de:03151:858;Gifhorn
8000186;de:05962:505;Iserlohn
8000187;de:06534:11200;Wallau(Lahn)
8000188;de:05358:4188;Jülich
8000189;de:07312:9035;Kaiserslautern Hbf
8000190;de:05166:23754;Kaldenkirchen
8000191;de:08212:90;Karlsruhe Hbf
8000192;de:05916:7590;Wanne-Eickel Hbf
8000193;de:06611:11373;Kassel Hbf
8000194;de:09762:950;Kaufbeuren
8000195;de:09181:503;Kaufering
8000196;de:05762:8130;Warburg(Westf)
8000197;de:09763:99;Kempten(Allgäu)Hbf
8000198;de:05113:9383;Kettwig
8000199;de:01002:49079;Kiel Hbf
8000201;de:09472:22900;Kirchenlaibach
8000203;de:08436:1159;Kißlegg
8000204;de:09363:2;Weiden(Oberpf)
8000205;de:05154:35739;Kleve
8000206;de:07111:10117;Koblenz Hbf
8000207;de:05315:11201;Köln Hbf
8000208;de:05315:14201;Köln-Ehrenfeld
8000209;de:05315:19201;Köln-Mülheim
8000210;de:06635:205466;Korbach
8000211;de:05114:21002;Krefeld Hbf
8000212;de:05114:21590;Krefeld-Oppum
8000213;de:03155:3532;Kreiensen
8000214;de:05970:10191;Kreuztal
8000215;de:05766:2200;Lage(Lippe)
8000216;de:07313:8304;Landau(Pfalz)Hbf
8000217;de:09261:64;Landshut(Bay)Hbf
8000218;de:06533:11118;Weilburg
8000220;de:09190:41571;Weilheim(Oberbay)
8000221;de:08128:13805;Lauda
8000222;de:06535:11203;Lauterbach(Hess)Nord
8000225;de:03457:54173;Leer(Ostfriesl)
8000226;de:03241:9808;Lehrte
8000227;de:05962:1001;Letmathe
8000228;de:09478:27000;Lichtenfels
8000229;de:06533:11025;Limburg(Lahn)
8000230;de:09776:1546;Lindau Hbf
8000231;de:08128:13412;Wertheim
8000233;de:05758:1741;Löhne(Westf)
8000234;de:06531:11085;Lollar
