ASS_NR;IFOPT
1;de:05315:11110
2;de:05315:11111
3;de:05315:11112
4;de:05315:11113
5;de:05315:11150
6;de:05315:11114
7;de:05315:11209
8;de:05315:11201
9;de:05315:11212
10;de:05315:18232
11;de:05315:11311
12;de:05315:11352
13;de:05315:11354
14;de:05315:14549
15;de:05315:11355
16;de:05315:18233
17;de:05315:11410
18;de:05315:11411
19;de:05315:11412
20;de:05315:11413
21;de:05315:11509
22;de:05315:11510
23;de:05315:11511
24;de:05315:11512
25;de:05315:11513
26;de:05315:11514
27;de:05315:11610
28;de:05315:11611
29;de:05315:11651
30;de:05315:11710
31;de:05315:11701
32;de:05315:11712
33;de:05315:16480
34;de:05315:11809
35;de:05315:11810
36;de:05315:11801
37;de:05315:11851
38;de:05315:11852
39;de:05315:11909
40;de:05315:11910
41;de:05315:11901
42;de:05315:11912
43;de:05314:61714
44;de:05315:11914
45;de:05315:11916
46;de:05315:11917
47;de:05315:11918
48;de:05315:11951
50;de:05315:12740
51;de:05315:11953
52;de:05315:12011
53;de:05315:12012
54;de:05315:12013
56;de:05315:12015
57;de:05315:12016
58;de:05315:12051
59;de:05315:12052
60;de:05315:12053
61;de:05315:12054
62;de:05315:12055
63;de:05315:12061
64;de:05315:12151
65;de:05315:12211
66;de:05315:12212
67;de:05315:12222
68;de:05315:12254
69;de:05315:12251
70;de:05315:12252
71;de:05315:12351
72;de:05315:12352
73;de:05315:12353
74;de:05315:12361
75;de:05315:12371
76;de:05315:12410
77;de:05382:54235
78;de:05315:12421
79;de:05315:12422
80;de:05315:12423
81;de:05315:12452
82;de:05315:12453
83;de:05315:12454
84;de:05315:12455
85;de:05315:12551
86;de:05315:12552
87;de:05315:12553
88;de:05315:12554
89;de:05315:12555
90;de:05315:12557
91;de:05315:13550
92;de:05315:12561
93;de:05315:12562
94;de:05315:12651
95;de:05315:12652
96;de:05315:12653
97;de:05315:12654
98;de:05315:12655
99;de:05315:12656
100;de:05315:12741
101;de:05315:12658
102;de:05315:12659
103;de:05315:12661
104;de:05315:12662
105;de:05315:12665
106;de:05315:12711
107;de:05315:12712
108;de:05315:12713
109;de:05315:12751
110;de:05315:12752
111;de:05315:12753
112;de:05315:12754
113;de:05382:54234
114;de:05315:12756
115;de:05315:12757
116;de:05315:12761
117;de:05315:12763
118;de:05315:12764
119;de:05315:12765
120;de:05315:12771
121;de:05315:12772
122;de:05315:12773
123;de:05315:12774
124;de:05315:12811
125;de:05315:12851
126;de:05315:12852
127;de:05315:12853
128;de:05315:12854
129;de:05315:12855
130;de:05315:12856
131;de:05315:12857
132;de:05315:12858
133;de:05315:12859
134;de:05315:12911
135;de:05315:12950
136;de:05315:12951
137;de:05315:12952
138;de:05315:12953
139;de:05315:12954
140;de:05315:12955
141;de:05315:12956
142;de:05315:13706
143;de:05315:13011
144;de:05315:13012
145;de:05315:13051
146;de:05315:13052
147;de:05315:13053
148;de:05315:13056
149;de:05315:13057
150;de:05315:13111
151;de:05315:13112
152;de:05315:13113
153;de:05315:13121
154;de:05315:13122
155;de:05315:13123
156;de:05315:13131
157;de:05315:13152
158;de:05382:54233
159;de:05315:13161
160;de:05315:13211
161;de:05314:66101
162;de:05315:13213
163;de:05315:13214
164;de:05315:13215
165;de:05315:13216
166;de:05315:13217
167;de:05315:13221
168;de:05315:13252
169;de:05315:13310
170;de:05315:13311
171;de:05315:13312
172;de:05315:13313
173;de:05315:13321
174;de:05315:13353
175;de:05315:13355
176;de:05315:13356
177;de:05315:13357
178;de:05315:13411
179;de:05315:13412
180;de:05315:13413
181;de:05315:13414
182;de:05315:13421
183;de:05315:13461
184;de:05315:13462
185;de:05315:13501
186;de:05315:13511
187;de:05315:13512
188;de:05315:13551
189;de:05315:13552
190;de:05315:13553
191;de:05315:13555
192;de:05315:13556
193;de:05315:13557
194;de:05315:13558
195;de:05315:13560
196;de:05315:13561
197;de:05315:13562
198;de:05315:13571
199;de:05315:13572
200;de:05315:13611
201;de:05315:12742
202;de:05315:12743
203;de:05315:13654
204;de:05315:13655
205;de:05315:13656
206;de:05315:13657
207;de:05315:13661
209;de:05315:13663
211;de:05315:13671
212;de:05315:13701
213;de:05315:13752
